lead_time,adults,children,average_daily_rate,total_of_special_requests,stays_in_weekend_nights,stays_in_week_nights,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,required_car_parking_spaces
85,2,0.0,82.0,1,0,3,0,0,0,0,0
75,2,0.0,105.5,0,0,3,0,0,0,0,0
23,2,0.0,123.0,0,0,4,0,0,0,0,0
60,2,0.0,107.0,2,2,5,0,0,0,0,0
96,2,0.0,108.3,2,2,8,0,0,0,0,0
45,3,0.0,108.8,1,1,3,0,0,0,0,0
40,3,0.0,108.8,1,1,3,0,0,0,0,0
43,3,0.0,108.8,0,1,3,0,0,0,0,0
45,2,0.0,117.81,0,2,3,0,0,0,0,0
47,2,2.0,153.0,0,2,5,0,0,0,0,0
3,2,0.0,136.33,2,0,3,0,0,0,0,0
71,3,0.0,110.3,2,0,2,0,0,0,0,0
63,2,0.0,82.0,2,0,2,0,0,0,0,0
62,2,0.0,97.0,1,0,2,0,0,0,0,0
101,2,0.0,73.8,1,0,2,0,0,0,0,0
51,3,0.0,110.3,0,0,2,0,0,0,0,0
48,2,0.0,123.0,0,1,2,0,0,0,0,0
368,2,0.0,55.68,0,3,7,0,0,0,0,0
81,2,0.0,124.0,1,3,7,0,0,2,0,0
79,2,1.0,108.73,2,6,15,0,0,0,0,0
109,2,0.0,123.0,1,0,2,0,0,0,0,0
72,2,0.0,73.8,1,0,2,0,0,0,0,0
63,2,0.0,117.0,1,2,5,0,0,0,0,0
26,2,2.0,163.0,0,2,5,0,0,0,0,0
73,3,0.0,172.0,1,2,5,0,0,0,0,0
102,2,0.0,110.7,1,2,5,0,0,0,0,0
101,2,0.0,96.3,1,2,6,0,0,0,0,0
51,1,0.0,105.0,0,0,1,0,0,0,0,0
36,1,0.0,123.0,0,0,1,0,0,1,0,0
73,2,0.0,73.8,2,0,1,0,0,0,0,0
33,2,0.0,113.0,0,0,1,0,0,0,0,0
5,2,0.0,97.0,0,1,0,0,0,0,0,0
5,2,0.0,97.0,0,1,0,0,0,0,0,0
34,2,2.0,163.0,0,2,4,0,0,0,0,0
93,2,0.0,105.5,0,2,5,0,0,0,0,0
101,2,0.0,114.0,1,2,5,0,0,0,0,0
48,2,0.0,167.0,0,1,3,0,0,0,0,0
86,1,0.0,71.0,1,2,5,0,0,0,0,0
94,2,0.0,87.3,0,3,7,0,0,0,0,0
67,2,0.0,73.8,1,0,2,0,0,0,0,0
43,2,0.0,91.5,0,0,5,0,0,0,0,0
88,2,0.0,139.0,2,2,5,0,0,0,0,0
292,2,0.0,47.25,0,2,5,0,0,0,0,0
113,2,0.0,123.0,1,0,4,0,0,0,0,0
105,2,0.0,73.8,1,0,4,0,0,0,0,0
1,2,0.0,104.72,1,0,1,0,0,0,0,0
1,2,0.0,104.72,1,0,1,0,0,0,0,0
102,2,0.0,66.42,1,1,4,0,0,0,0,0
280,2,1.0,112.0,1,2,5,0,0,0,0,0
77,2,0.0,97.0,0,0,3,0,0,0,0,0
24,2,2.0,123.0,1,0,3,0,0,0,0,0
44,2,2.0,153.0,0,0,3,0,0,0,0,0
17,2,0.0,105.08,0,1,3,0,0,0,0,0
103,2,0.0,65.42,0,1,3,0,0,0,0,0
69,2,0.0,118.13,2,2,6,0,0,0,0,0
51,2,0.0,123.0,0,2,3,0,0,0,0,0
100,2,1.0,153.96,0,2,3,0,0,0,0,0
36,2,0.0,126.67,0,2,4,0,0,0,0,0
109,2,0.0,73.8,1,2,5,0,0,0,0,0
59,2,0.0,111.25,2,2,6,0,0,0,0,0
72,2,0.0,93.0,2,2,4,0,0,0,0,0
58,3,1.0,164.57,1,2,5,0,0,0,0,0
51,2,0.0,105.71,0,2,5,0,0,0,0,0
97,2,0.0,126.0,1,3,5,0,0,0,0,0
55,2,10.0,133.16,1,4,10,0,0,2,0,0
24,2,0.0,128.0,0,2,1,0,0,0,0,0
47,2,0.0,103.8,0,2,3,0,0,0,0,0
79,2,0.0,100.86,1,2,5,0,0,0,0,0
45,2,0.0,123.0,0,1,1,0,0,0,0,0
60,2,0.0,79.5,0,1,4,0,0,0,0,0
321,2,0.0,132.8,1,1,4,0,0,0,0,0
51,2,0.0,79.5,0,1,4,0,0,0,0,0
75,2,0.0,144.2,1,1,4,0,0,0,0,0
42,2,0.0,120.0,0,1,4,0,0,0,0,0
81,2,0.0,98.5,2,1,5,0,0,0,0,0
98,2,0.0,130.5,0,1,5,0,0,0,0,0
95,2,0.0,100.86,1,2,5,0,0,0,0,0
40,2,0.0,105.5,0,0,1,0,0,0,0,0
76,2,0.0,126.0,2,0,4,0,0,0,0,0
112,1,0.0,65.7,1,2,5,0,0,0,0,0
96,2,0.0,107.67,1,2,7,0,0,0,0,0
96,2,0.0,96.9,1,2,7,0,0,0,0,0
62,2,0.0,91.5,0,0,3,0,0,0,0,0
39,2,0.0,132.44,0,0,3,0,0,0,0,0
58,2,0.0,131.86,0,2,5,0,0,0,0,0
57,2,0.0,0.0,0,0,2,0,0,0,0,0
66,2,2.0,195.0,1,0,2,0,0,0,0,0
48,1,0.0,112.0,0,0,1,0,0,0,0,0
0,2,0.0,123.2,0,0,1,0,0,0,0,0
66,2,0.0,103.5,1,0,2,0,0,0,0,0
10,2,0.0,134.0,0,0,3,0,0,0,0,0
58,2,0.0,147.0,0,0,3,0,0,0,0,0
17,2,0.0,151.33,0,0,3,0,0,0,0,0
12,2,0.0,139.0,0,2,3,0,0,0,0,0
35,2,0.0,135.0,0,1,3,0,0,0,0,0
35,2,0.0,135.0,0,2,4,0,0,0,0,0
15,2,0.0,134.0,1,0,2,0,0,0,0,0
7,2,0.0,127.25,1,0,2,0,0,0,0,0
6,2,0.0,110.5,1,0,2,0,0,0,0,0
3,1,0.0,107.6,0,0,2,0,0,0,0,0
23,2,0.0,120.6,1,1,2,0,0,0,0,0
23,2,2.0,195.0,0,2,5,0,0,0,0,0
32,2,0.0,154.0,0,1,2,0,0,0,0,0
0,2,0.0,136.0,0,0,1,0,0,0,0,0
37,2,2.0,168.3,0,2,4,0,0,0,0,0
96,2,0.0,147.0,0,2,2,0,0,0,0,0
123,2,0.0,157.0,2,2,2,0,0,1,0,0
42,2,2.0,210.0,0,2,3,0,0,0,0,0
